ordem,faixa,tipo,inicio_s,fim_s,duracao_s,ficheiro,caminho_original,encontrado,caminho_disco,in_s,out_s,movimento,transicao,transicao_s,texto_ecra,largura,altura,resolucao_ok
349,musica,musica,953.38,1021.39,68.01,Berlin - Take My Breathe Away theme from Top Gun with Lyrics.mp3,C:\Users\Rosa Moreira\Music\Berlin - Take My Breathe Away theme from Top Gun with Lyrics.mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Berlin - Take My Breathe Away theme from Top Gun with Lyrics.mp3,0.0,68.01,,,,,0,0,
350,texto,cartao,954.9,956.9,2.0,,,,,,,,,,Look à Top Gun,,,
351,video,foto,956.371,961.371,5.0,21-49-51.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-51.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-51.jpg,,,Zoom in,Crossfade,1.5,,1204,2089,Nao
352,video,foto,959.871,964.871,5.0,21-49-29.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-29.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-29.JPG,,,Zoom in,Crossfade,1.5,,5184,3456,Sim
353,texto,cartao,961.929,963.929,2.0,,,,,,,,,,Pilotando um helicóptero,,,
354,video,foto,963.371,968.371,5.0,21-49-39.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-39.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-39.JPG,,,Nenhum,Crossfade,1.5,,3659,3456,Sim
355,texto,cartao,965.565,967.565,2.0,,,,,,,,,,Pilotando um trenó,,,
356,video,foto,966.871,971.871,5.0,20170521_162505.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\20170521_162505.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\20170521_162505.jpg,,,Zoom in,Crossfade,1.5,,4128,3096,Sim
357,texto,cartao,968.976,970.807,1.832,,,,,,,,,,Na Régua,,,
358,video,foto,970.371,975.371,5.0,IMG_3216.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_3216.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_3216.JPG,,,Zoom in,Crossfade,1.5,,2736,3648,Sim
359,texto,cartao,972.361,974.686,2.325,,,,,,,,,,Em Nova York,,,
360,video,foto,973.871,977.871,4.0,IMG_3461.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_3461.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_3461.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
361,video,foto,976.371,981.371,5.0,IMG_3540.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_3540.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_3540.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
362,texto,cartao,978.767,980.767,2.0,,,,,,,,,,Na Croácia  .,,,
363,video,foto,979.871,984.871,5.0,IMG_3547.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_3547.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_3547.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
364,video,foto,983.371,988.371,5.0,IMG_3576.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_3576.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_3576.JPG,,,Nenhum,Crossfade,1.5,,256,192,Nao
365,texto,cartao,985.682,989.15,3.467,,,,,,,,,,Captando o pôr-de-sol,,,
366,video,foto,988.371,992.371,4.0,IMG_4517.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4517.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4517.JPG,,,Zoom in,,,,256,192,Nao
367,video,foto,990.871,996.871,6.0,DSCN7849.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\DSCN7849.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\DSCN7849.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
368,texto,cartao,993.401,996.401,3.0,,,,,,,,,,"Em Zagreb, no estádio Maksimir.  .",,,
369,video,foto,995.371,1002.371,7.0,IMG_4541.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4541.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4541.JPG,,,Zoom in,Crossfade,1.5,,169,256,Nao
370,texto,cartao,997.791,1001.791,4.0,,,,,,,,,,"Em  Londres, no Museu Madame Tussauds,  com Bolt.",,,
371,video,foto,1000.871,1006.871,6.0,IMG_4542.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4542.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4542.JPG,,,Zoom in,Crossfade,1.5,,192,256,Nao
372,texto,cartao,1003.598,1005.598,2.0,,,,,,,,,,E com  Ronaldo,,,
373,video,foto,1005.371,1011.371,6.0,IMG_8450.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_8450.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_8450.jpeg,,,Zoom in,Crossfade,1.5,,3024,4032,Sim
374,texto,cartao,1007.97,1010.97,3.0,,,,,,,,,,"Em  Buenos Aires, no  Bairro  La Boca.",,,
375,video,foto,1009.871,1015.871,6.0,IMG_9648.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_9648.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_9648.jpeg,,,Zoom in,Crossfade,1.5,,4032,3024,Sim
376,texto,cartao,1012.562,1015.262,2.7,,,,,,,,,,"Empurrando um glaciar (Perito Moreno, na Argentina)",,,
377,video,foto,1014.371,1020.371,6.0,1200.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\1200.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\1200.jpg,,,Zoom in,Crossfade,1.5,,1536,1007,Sim
378,texto,cartao,1017.199,1021.199,4.0,,,,,,,,,,Com o Henrique no Parque Guell,,,
379,video,cartao,1020.371,1025.371,5.0,,,,,,,,,,,,,
380,musica,musica,1021.355,1072.655,51.3,Sia - Unstoppable (Official Video - Live from the Nostalgic For The Present Tour).MP3,C:\Users\Rosa Moreira\Music\Sia - Unstoppable (Official Video - Live from the Nostalgic For The Present Tour).MP3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Sia - Unstoppable (Official Video - Live from the Nostalgic For The Present Tour).MP3,0.0,51.3,,,,,0,0,
381,texto,cartao,1021.371,1024.871,3.5,,,,,,,,,,Colegas de trabalho,,,
382,video,foto,1023.871,1030.871,7.0,IMG-20250305-WA0113.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG-20250305-WA0113.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG-20250305-WA0113.jpg,,,Zoom in,Crossfade,1.5,,1600,1200,Sim
383,video,foto,1029.371,1035.371,6.0,IMG-20260513-WA0016.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG-20260513-WA0016.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG-20260513-WA0016.jpg,,,Zoom in,Crossfade,1.5,,2040,1530,Sim
384,video,foto,1033.871,1042.871,9.0,6-4.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\6-4.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\6-4.jpg,,,Nenhum,Crossfade,1.5,,848,1280,Nao
385,video,foto,1041.371,1048.371,7.0,IMG-20221118-WA0013.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG-20221118-WA0013.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG-20221118-WA0013.jpg,,,Zoom in,Crossfade,1.5,,1024,768,Nao
386,video,foto,1046.871,1053.871,7.0,21-49-52.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-52.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-52.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
387,texto,cartao,1049.538,1053.238,3.7,,,,,,,,,,Com a mãe no cortejo da Queima das  Fitas,,,
388,video,foto,1052.371,1057.371,5.0,21-49-53.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-53.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-53.jpg,,,Nenhum,Crossfade,1.5,,1920,1440,Sim
389,texto,cartao,1055.246,1057.246,2.0,,,,,,,,,,Com a mãe e com a avó,,,
390,video,foto,1055.871,1061.871,6.0,21-49-56.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-56.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-56.jpg,,,Zoom in,Crossfade,1.5,,2592,1944,Sim
391,video,foto,1060.371,1065.371,5.0,21-49-54.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-54.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-54.jpg,,,Zoom in,Crossfade,1.5,,1920,1440,Sim
392,texto,cartao,1063.012,1065.012,2.0,,,,,,,,,,E com a Sky,,,
393,video,foto,1063.871,1068.871,5.0,21-49-55.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-55.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-55.jpg,,,Zoom in,Crossfade,1.5,,1920,1440,Sim
394,video,foto,1067.371,1071.371,4.0,21-49-57.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-57.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-57.jpg,,,Zoom in,Crossfade,1.5,,1920,1440,Sim
395,video,cartao,1071.371,1079.371,8.0,,,,,,,,,,,,,
396,musica,musica,1072.578,1118.148,45.57,George Michael - Careless Whisper (Official Video).mp3,C:\Users\Rosa Moreira\Music\George Michael - Careless Whisper (Official Video).mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\George Michael - Careless Whisper (Official Video).mp3,0.0,45.57,,,,,0,0,
397,texto,cartao,1072.805,1078.805,6.0,,,,,,,,,,Em 2011  a Clara e o Tiago  conheceram-se. E nunca mais  se largaram.,,,
398,video,foto,1077.871,1082.871,5.0,A Happy Year (16).jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\A Happy Year (16).jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\A Happy Year (16).jpg,,,Nenhum,Crossfade,1.5,,2048,1536,Sim
399,video,foto,1081.371,1088.371,7.0,21-50.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-50.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-50.JPG,,,Zoom in,Crossfade,1.5,,4320,3240,Sim
400,texto,cartao,1084.257,1087.957,3.7,,,,,,,,,,"Na Escola Secundária, com 16 anos.",,,
401,video,foto,1086.871,1091.871,5.0,185.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\185.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\185.JPG,,,Zoom in,Crossfade,1.5,,256,256,Nao
402,video,foto,1090.371,1097.371,7.0,21-51.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-51.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-51.JPG,,,Zoom in,Crossfade,1.5,,1280,1174,Sim
403,texto,cartao,1093.228,1097.207,3.978,,,,,,,,,,Na aula de Biologia,,,
404,video,foto,1095.871,1102.871,7.0,21-52.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-52.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-52.JPG,,,Zoom in,Crossfade,1.5,,2206,2763,Sim
405,texto,cartao,1098.843,1101.585,2.742,,,,,,,,,,Festa dos 17 anos da Clara,,,
406,video,foto,1101.371,1108.371,7.0,21-53.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-53.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-53.JPG,,,Zoom in,Crossfade,1.5,,4000,3000,Sim
407,video,foto,1106.871,1113.871,7.0,21-60.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-60.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-60.jpg,,,Zoom in,Crossfade,1.5,,642,715,Nao
408,texto,cartao,1110.038,1113.038,3.0,,,,,,,,,,Com 20 anos,,,
409,video,foto,1112.371,1119.371,7.0,21-49-58.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-58.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-58.JPG,,,Zoom in,Crossfade,1.5,,2248,4000,Sim
410,texto,cartao,1115.343,1118.069,2.726,,,,,,,,,,L'amour,,,
411,video,foto,1117.871,1122.871,5.0,22-2.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\22-2.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\22-2.JPG,,,Zoom in,Crossfade,1.5,,4000,2248,Sim
412,musica,musica,1118.178,1230.078,111.9,Andy Williams   Where Do I Begin   Love Story   Lyrics Remi[1].mp3,C:\Users\Rosa Moreira\Music\Andy Williams   Where Do I Begin   Love Story   Lyrics Remi[1].mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Andy Williams   Where Do I Begin   Love Story   Lyrics Remi[1].mp3,0.6,112.5,,,,,0,0,
413,texto,cartao,1120.806,1122.606,1.8,,,,,,,,,,E le glamour,,,
414,video,foto,1121.371,1126.371,5.0,22-5.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\22-5.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\22-5.JPG,,,Zoom in,Crossfade,1.5,,2048,1536,Sim
415,video,foto,1124.871,1129.871,5.0,82-1.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-1.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-1.JPG,,,Zoom in,Crossfade,1.5,,3780,3240,Sim
416,video,foto,1128.371,1133.371,5.0,20170805181124.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\20170805181124.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\20170805181124.jpg,,,Zoom in,Crossfade,1.5,,4608,3456,Sim
417,video,foto,1131.871,1136.871,5.0,IMG_9283 (1).jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_9283 (1).jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_9283 (1).jpg,,,Zoom in,Crossfade,1.5,,2576,1932,Sim
418,video,foto,1135.371,1140.371,5.0,DSC07594.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\DSC07594.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\DSC07594.JPG,,,Zoom in,Crossfade,1.5,,4000,2248,Sim
419,video,foto,1138.871,1143.871,5.0,DSC00093.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\DSC00093.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\DSC00093.JPG,,,Zoom in,Crossfade,1.5,,1280,855,Sim
420,video,foto,1142.371,1147.371,5.0,82-10.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-10.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-10.jpg,,,Zoom in,Crossfade,1.5,,1280,960,Sim
421,texto,cartao,1145.233,1147.233,2.0,,,,,,,,,,Em Veneza,,,
422,video,foto,1145.871,1150.871,5.0,82-2.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-2.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-2.jpg,,,Zoom in,Crossfade,1.5,,1280,964,Sim
423,texto,cartao,1148.535,1150.535,2.0,,,,,,,,,,"Em Londres,  2018.",,,
424,video,foto,1149.371,1154.371,5.0,82-37.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-37.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-37.jpeg,,,Zoom in,Crossfade,1.5,,1211,1280,Nao
425,texto,cartao,1152.345,1154.345,2.0,,,,,,,,,,"Em Londres,  2025.",,,
426,video,foto,1152.871,1157.871,5.0,82-3.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-3.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-3.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
427,video,foto,1156.371,1163.371,7.0,82 - Cópia.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82 - Cópia.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82 - Cópia.jpg,,,Zoom in,Crossfade,1.5,,1019,1001,Nao
428,texto,cartao,1159.309,1163.309,4.0,,,,,,,,,,Em Barcelona.  Escutando as explicações  sobre a obra de Gaudi.,,,
429,video,foto,1161.871,1166.871,5.0,82-27.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-27.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-27.jpeg,,,Zoom in,Crossfade,1.5,,1016,1280,Nao
430,video,foto,1165.371,1170.371,5.0,82-53.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-53.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-53.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
431,video,foto,1168.871,1174.871,6.0,IMG_9097.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_9097.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_9097.JPG,,,Nenhum,Crossfade,1.5,,1280,960,Sim
432,texto,cartao,1171.827,1173.827,2.0,,,,,,,,,,No Gerês,,,
433,video,foto,1173.371,1178.371,5.0,IMG_8594.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_8594.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_8594.jpeg,,,Zoom in,Crossfade,1.5,,256,210,Nao
434,texto,cartao,1175.978,1177.978,2.0,,,,,,,,,,Na Argentina. Junto às Cataratas do  Iguaçú;,,,
435,video,foto,1176.871,1181.871,5.0,IMG_9062.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_9062.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_9062.jpeg,,,Zoom in,Crossfade,1.5,,226,256,Nao
436,texto,cartao,1179.642,1181.61,1.968,,,,,,,,,,"Na Patagónia, junto  a uma colónia de pinguins.",,,
437,video,foto,1180.371,1185.371,5.0,IMG_8848.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_8848.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_8848.jpeg,,,Zoom in,Crossfade,1.5,,256,207,Nao
438,texto,cartao,1183.233,1184.977,1.744,,,,,,,,,,Em Ushuaia,,,
439,video,foto,1183.871,1189.871,6.0,IMG_8145.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_8145.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_8145.jpeg,,,Zoom in,Crossfade,1.5,,256,192,Nao
440,texto,cartao,1186.702,1189.701,2.999,,,,,,,,,,No estádio do Boca Juniors,,,
441,video,foto,1188.371,1194.371,6.0,20170204_200730.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\20170204_200730.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\20170204_200730.jpg,,,Zoom in,Crossfade,1.5,,1280,960,Sim
442,texto,cartao,1191.322,1193.922,2.6,,,,,,,,,,"Em comum, também tinham a  paixão pelo FCP.",,,
443,video,foto,1192.871,1197.871,5.0,IMG_2523.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_2523.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_2523.jpeg,,,Zoom in,Crossfade,1.5,,960,1280,Nao
444,video,foto,1196.371,1202.371,6.0,Scanner_20260606 (17).jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\Scanner_20260606 (17).jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\Scanner_20260606 (17).jpg,,,Zoom in,Crossfade,1.5,,1196,803,Nao
445,texto,cartao,1199.205,1202.205,3.0,,,,,,,,,,E pelo futebol em geral,,,
446,video,foto,1200.871,1205.871,5.0,82-4.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-4.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-4.jpg,,,Zoom in,Crossfade,1.5,,1280,1183,Sim
447,video,foto,1204.371,1210.371,6.0,82-11.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-11.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-11.jpeg,,,Zoom in,Crossfade,1.5,,2316,3088,Sim
448,texto,cartao,1207.345,1210.092,2.747,,,,,,,,,,E o fétiche por óculos...,,,
449,video,foto,1208.871,1213.871,5.0,82-11-1.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-11-1.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-11-1.jpg,,,Zoom in,Crossfade,1.5,,368,1067,Nao
450,video,foto,1212.371,1217.371,5.0,IMG_4073.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4073.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4073.JPG,,,Zoom in,Crossfade,1.5,,3264,2448,Sim
451,video,foto,1217.371,1224.371,7.0,DSC_0041.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\DSC_0041.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\DSC_0041.JPG,,,Nenhum,,,,1280,854,Sim
452,texto,cartao,1218.538,1224.016,5.478,,,,,,,,,,"Imposição de Insígnias. ""Tiago, não batas,  ela só fala na presença  do seu Advogado...""",,,
453,video,foto,1222.871,1228.871,6.0,30Abril18_125.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\30Abril18_125.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\30Abril18_125.jpg,,,Zoom in,Crossfade,1.5,,2667,4000,Sim
454,texto,cartao,1225.684,1229.153,3.469,,,,,,,,,,No Baile  de Finalistas,,,
455,video,cartao,1228.871,1235.871,7.0,,,,,,,,,,,,,
456,texto,cartao,1230.038,1235.533,5.495,,,,,,,,,,Cumplicidades,,,
457,musica,musica,1230.138,1505.106,274.968,Papillon - ¡ N.M.N ! (feat. Bárbara Tinoco) [1].MP3,C:\Users\Rosa Moreira\Music\Papillon - ¡ N.M.N ! (feat. Bárbara Tinoco) [1].MP3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Papillon - ¡ N.M.N ! (feat. Bárbara Tinoco) [1].MP3,0.0,274.968,,,,,0,0,
458,video,foto,1234.371,1239.371,5.0,82-48.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-48.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-48.JPG,,,Zoom in,Crossfade,1.5,,3164,3888,Sim
459,video,foto,1237.871,1242.871,5.0,82-46.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\82-46.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\82-46.JPG,,,Zoom in,Crossfade,1.5,,4889,3888,Sim
