id,ficheiro,final,origem,mudou_pct
f0216,9-15-4.jpg,9-15-4.jpg,original,0.00
f0217,9-15.JPG,9-15.JPG,original,0.00
f0218,9-16.JPG,9-16.JPG,original,0.00
f0219,9-17.JPG,9-17.JPG,original,0.00
f0220,9-18.JPG,9-18.JPG,original,0.00
f0221,9-2.jpg,9-2.jpg,lanczos,0.46
f0222,9-23.JPG,9-23.JPG,original,0.00
f0223,9-24-1.JPG,9-24-1.JPG,original,0.00
f0224,9-24-2.JPG,9-24-2.JPG,original,0.00
f0225,9-24-4.jpeg,9-24-4.jpeg,original,0.00
f0226,9-24-5.JPG,9-24-5.JPG,original,0.00
f0227,9-24-7.JPG,9-24-7.JPG,original,0.00
f0228,9-24-8.JPG,9-24-8.JPG,original,0.00
f0229,9-24.JPG,9-24.JPG,original,0.00
f0230,9-25.jpg,9-25.jpg,lanczos,0.62
f0231,9-26.JPG,9-26.jpg,lanczos,0.53
f0232,9-27.JPG,9-27.JPG,original,0.00
f0233,9-28.JPG,9-28.JPG,original,0.00
f0234,9-29.JPG,9-29.JPG,original,0.00
f0235,9-5.JPG,9-5.JPG,original,0.00
f0236,9.1.jpg,9.1.jpg,lanczos,0.57
f0237,9.4.JPG,9.4.JPG,original,0.00
f0238,977af8a4-c485-48a1-ac39-83ee76f6bc02.jpeg,977af8a4-c485-48a1-ac39-83ee76f6bc02.jpeg,original,0.00
f0239,A Happy Year (16).jpg,f0239__A Happy Year (16).jpg,original,0.00
f0240,b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,original,0.00
f0241,content.jpg,content.jpg,original,0.00
f0242,content5.jpg,content5.jpg,lanczos,0.41
f0243,DSC00075.JPG,DSC00075.JPG,original,0.00
f0244,DSC00093.JPG,DSC00093.JPG,original,0.00
f0245,DSC02999.JPG,DSC02999.JPG,original,0.00
f0246,DSC07594.JPG,DSC07594.JPG,original,0.00
f0247,DSC09844.JPG,DSC09844.JPG,original,0.00
f0248,DSC_0041.JPG,DSC_0041.JPG,original,0.00
f0249,DSC_7700.JPG,DSC_7700.JPG,original,0.00
f0250,DSCN3008.JPG,DSCN3008.JPG,original,0.00
f0251,DSCN7849.JPG,DSCN7849.JPG,original,0.00
f0252,Fotos Joana (69).JPG,Fotos Joana (69).JPG,original,0.00
f0253,IMG-20221118-WA0013.jpg,IMG-20221118-WA0013.jpg,IA,1.82
f0254,IMG-20250305-WA0113.jpg,IMG-20250305-WA0113.jpg,lanczos,0.51
f0255,IMG-20260513-WA0016.jpg,IMG-20260513-WA0016.jpg,original,0.00
f0256,IMG-20260614-WA0013.jpg,IMG-20260614-WA0013.jpg,original,0.00
f0257,IMG_0588.JPG,IMG_0588.JPG,original,0.00
f0258,IMG_0645 (1).jpg,IMG_0645 (1).jpg,original,0.00
f0259,IMG_1475.jpeg,IMG_1475.jpeg,original,0.00
f0260,IMG_2067.jpeg,IMG_2067.jpeg,original,0.00
f0261,IMG_2523.jpeg,IMG_2523.jpeg,original,0.00
f0262,IMG_2601.jpeg,IMG_2601.jpeg,original,0.00
f0263,IMG_3216.JPG,IMG_3216.JPG,original,0.00
f0264,IMG_3461.JPG,IMG_3461.JPG,original,0.00
f0265,IMG_3540.JPG,IMG_3540.JPG,original,0.00
f0266,IMG_3547.JPG,IMG_3547.JPG,original,0.00
f0267,IMG_3576.JPG,IMG_3576.JPG,original,0.00
f0268,IMG_3835.jpg,IMG_3835.jpg,original,0.00
f0269,IMG_4073.JPG,IMG_4073.JPG,original,0.00
f0270,IMG_4224.JPG,IMG_4224.JPG,original,0.00
f0271,IMG_4277 (3) (1).jpg,IMG_4277 (3) (1).jpg,original,0.00
f0272,IMG_4362.JPG,IMG_4362.JPG,original,0.00
f0273,IMG_4425.JPG,IMG_4425.JPG,original,0.00
f0274,IMG_4477.JPG,IMG_4477.JPG,original,0.00
f0275,IMG_4490 (16).jpg,IMG_4490 (16).jpg,original,0.00
f0276,IMG_4490 (3).jpg,IMG_4490 (3).jpg,original,0.00
f0277,IMG_4517.JPG,IMG_4517.JPG,original,0.00
f0278,IMG_4541.JPG,IMG_4541.JPG,original,0.00
f0279,IMG_4542.JPG,IMG_4542.JPG,original,0.00
f0280,IMG_4601(7).jpg,IMG_4601(7).jpg,original,0.00
f0281,IMG_4751.JPG,IMG_4751.JPG,original,0.00
f0282,IMG_6240.jpeg,IMG_6240.jpeg,original,0.00
f0283,IMG_6442.JPG,IMG_6442.JPG,original,0.00
f0284,IMG_7790.JPG,IMG_7790.JPG,original,0.00
f0285,IMG_7886.jpeg,IMG_7886.jpeg,original,0.00
f0286,IMG_8145.jpeg,IMG_8145.jpeg,original,0.00
f0287,IMG_8450.jpeg,IMG_8450.jpeg,original,0.00
f0288,IMG_8594.jpeg,IMG_8594.jpeg,original,0.00
f0289,IMG_8848.jpeg,IMG_8848.jpeg,original,0.00
f0290,IMG_9013.JPG,IMG_9013.JPG,original,0.00
f0291,IMG_9062.jpeg,IMG_9062.jpeg,original,0.00
f0292,IMG_9097.JPG,IMG_9097.JPG,original,0.00
f0293,IMG_9283 (1).jpg,IMG_9283 (1).jpg,original,0.00
f0294,IMG_9594.jpeg,IMG_9594.jpeg,original,0.00
f0295,IMG_9648.jpeg,IMG_9648.jpeg,original,0.00
f0296,Porto (10).JPG,Porto (10).JPG,original,0.00
f0297,Scanner_20260606 (17).jpg,Scanner_20260606 (17).jpg,IA,0.93
f0298,Scanner_20260814.jpg,Scanner_20260814.jpg,IA,1.26
f0299,WhatsApp Image 2021-11-15 at 18.54.22.jpeg,WhatsApp Image 2021-11-15 at 18.54.22.jpeg,original,0.00
f0300,WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,original,0.00
f0301,WhatsApp Image 2025-10-10 at 14.45.56.jpeg,WhatsApp Image 2025-10-10 at 14.45.56.jpeg,original,0.00
f0302,WhatsApp Image 2026-03-01 at 13.30.02.jpeg,f0302__WhatsApp Image 2026-03-01 at 13.30.02.jpg,lanczos,0.26
f0303,WhatsApp Image 2026-05-02 at 20.16.23.jpeg,WhatsApp Image 2026-05-02 at 20.16.23.jpeg,original,0.00
f0304,WhatsApp Image 2026-08-21 at 16.10.19.jpeg,WhatsApp Image 2026-08-21 at 16.10.19.jpeg,original,0.00
f0305,WhatsApp Image 2026-08-22 at 11.12.02.jpeg,WhatsApp Image 2026-08-22 at 11.12.02.jpeg,original,0.00
f0306,WP_20150912_18_28_43_Pro.jpg,WP_20150912_18_28_43_Pro.jpg,original,0.00
f0647,0e3b4981-ab0f-46c8-8882-719adb058f35.jpeg,0e3b4981-ab0f-46c8-8882-719adb058f35.jpeg,original,0.00
f0552,1 (416).JPG,1 (416).JPG,original,0.00
f0553,11262327_870472636371631_948669226_o.jpg,11262327_870472636371631_948669226_o.jpg,lanczos,0.36
f0648,1636311995204.jpg,1636311995204.jpg,original,0.00
f0649,1636311995274.jpg,1636311995274.jpg,original,0.00
f0693,2008_Ericeira_Mae_e_tiago_HPIM4288.JPG,2008_Ericeira_Mae_e_tiago_HPIM4288.JPG,original,0.00
f0694,2008_Ericeira_Mae_e_tiago_HPIM4369.JPG,2008_Ericeira_Mae_e_tiago_HPIM4369.JPG,original,0.00
f0695,2008_Ericeira_Mae_e_tiago_HPIM4695.JPG,2008_Ericeira_Mae_e_tiago_HPIM4695.JPG,original,0.00
f0696,2008_Ericeira_Mae_e_tiago_HPIM4696.JPG,2008_Ericeira_Mae_e_tiago_HPIM4696.JPG,original,0.00
f0697,2008_Ericeira_Mae_e_tiago_HPIM4839.JPG,2008_Ericeira_Mae_e_tiago_HPIM4839.JPG,original,0.00
f0698,2008_Ericeira_Mae_e_tiago_HPIM4986.JPG,2008_Ericeira_Mae_e_tiago_HPIM4986.JPG,original,0.00
f0554,2013-02-14 14.36.26.jpg,2013-02-14 14.36.26.jpg,original,0.00
f0555,20170204_200730.jpg,f0555__20170204_200730.jpg,original,0.00
f0650,20170520_195522.jpg,20170520_195522.jpg,original,0.00
f0651,20170521_092828.jpg,20170521_092828.jpg,original,0.00
f0652,20170521_151502.jpg,20170521_151502.jpg,original,0.00
