id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0333,5,4,"2012_Universidade_Junior_Clara e Tiago_2 meses apos começo_há pessoas a cortar, talvez manter apenas a Sandra, remover o miguel.jpg",foto,Ambos,2012,Por classificar,4,,,Zoom out,,Sim,,,,,
f0164,1,5,22-2.JPG,foto,Ambos,2013,E le glamour,4,,,Pan E-D,,Sim,,,,,
f0150,2,5,21-49-58.JPG,foto,Ambos,2013,L'amour,4,,,Zoom out,,Sim,,,,,
f0239,3,5,A Happy Year (16).jpg,foto,Ambos,2013,"O encontro, 2013",4,,,Nenhum,,Sim,,,,,
f0246,4,5,DSC07594.JPG,foto,Ambos,2013,"O encontro, 2013",4,,,Pan D-E,,Sim,,,,,
f0334,5,5,2013_Tiago_e_clara_aniversario_gabriel_amigos secundario.jpg,foto,Ambos,2013,Por classificar,4,,,Zoom in,,Sim,,,,,
f0335,6,5,2013_Tiago_Na_latada_da_Clara_amigos secundario.jpg,foto,Ambos,2013,Por classificar,4,,,Zoom out,,Sim,,,,,
f0033,7,5,11.jpg,foto,Familia,2014,Com a mãe,4,,,Zoom in,,Nao,,,,,
f0173,8,5,69916331_2555139434539758_2920736718019624960_n.jpg,foto,Familia,2014,Com a mãe,4,,,Zoom out,,Nao,,,,,
f0055,9,5,21-1.JPG,foto,Amigos,2014,Com as amigas de sempre,4,,,Zoom in,,Sim,,,,,
f0040,10,5,19-2.JPG,foto,Clara,2014,E comunicativa (No Rock in Rio Lisboa),4,,,Nenhum,,Sim,,,,,
f0269,11,5,IMG_4073.JPG,foto,Ambos,2014,E o fétiche por óculos,4,,,Zoom in,,Sim,,,,,
f0135,12,5,21-49-40.JPG,foto,Tiago,2014,Ensaiando uma coreografia com o irmão,4,,,Zoom out,,Sim,,,,,
f0136,13,5,21-49-41.JPG,foto,Tiago,2014,Ensaiando uma coreografia com o irmão,4,,,Zoom in,,Sim,,,,,
f0137,14,5,21-49-42.JPG,foto,Tiago,2014,Ensaiando uma coreografia com o irmão,4,,,Zoom out,,Sim,,,,,
f0130,15,5,21-49-34.JPG,foto,Tiago,2014,No casamento da mãe,4,,,Zoom in,,Sim,,,,,
f0188,16,5,82-1.JPG,foto,Ambos,2014,"O encontro, 2014",4,,,Zoom out,,Sim,,,,,
f0244,17,5,DSC00093.JPG,foto,Ambos,2014,"O encontro, 2014",4,,,Nenhum,,Sim,,,,,
f0133,18,5,21-49-39.JPG,foto,Tiago,2014,Pilotando um trenó,4,,,Zoom out,,Sim,,,,,
f0325,19,5,2014_cLARA_E_TIAGO_30set.jpg,foto,Ambos,2014,Por classificar,4,,,Zoom in,,Sim,,,,,
f0326,20,5,2014_cLARA_E_TIAGO_Rockinrio.jpg,foto,Ambos,2014,Por classificar,4,,,Zoom out,,Nao,,,,,
