ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
123,f0299,foto,Amigos e colegas,WhatsApp Image 2021-11-15 at 18.54.22.jpeg,3.93,0.7,397.85,401.77,3.23,2.53,Nenhum,Com amigos da Secundária...,fiel,6.0,-34.6,,
124,f0245,foto,Amigos e colegas,DSC02999.JPG,3.7,0.7,401.07,404.77,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
125,f0290,foto,Amigos e colegas,IMG_9013.JPG,3.93,0.7,404.07,408.0,3.23,2.53,Zoom in,E da Faculdade,fundo,6.0,-34.6,,
126,f0055,foto,Amigos e colegas,21-1.JPG,3.93,0.7,407.3,411.23,3.23,2.53,Zoom in,Com as amigas de sempre,fundo,6.0,-34.6,,
127,f0089,foto,Amigos e colegas,21-45-10.jpg,4.15,0.7,410.53,414.68,3.45,2.75,Nenhum,,fiel,7.0,-40.7,,
128,f0090,foto,Amigos e colegas,21-45-11.jpg,4.38,0.7,413.98,418.36,3.68,2.98,Nenhum,Farmácia vs Direito vs Bioquímica vs Engenharia,fiel,8.0,-45.3,,
129,,cartao,Colegas de trabalho (dela),,3.7,0.7,417.66,421.36,3.0,2.3,,Colegas de trabalho,fiel,5.0,-26.0,,
130,f0091,foto,Colegas de trabalho (dela),21-45-16.jpeg,0.56,0.0,421.36,421.92,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
131,f0047,foto,Colegas de trabalho (dela),200_ML_FestaNatal2022.jpg,0.56,0.0,421.92,422.48,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
132,f0241,foto,Colegas de trabalho (dela),content.jpg,0.56,0.0,422.48,423.04,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
133,f0242,foto,Colegas de trabalho (dela),content5.jpg,0.56,0.0,423.04,423.61,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
134,f0168,foto,Colegas de trabalho (dela),499_ML_FestaNatal2024.jpg,0.56,0.0,423.61,424.17,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
135,f0259,foto,Colegas de trabalho (dela),IMG_1475.jpeg,0.56,0.0,424.17,424.73,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
136,f0092,foto,Colegas de trabalho (dela),21-45-17.jpeg,4.15,0.7,424.03,428.18,3.45,2.75,Nenhum,A  verdadeira  Claque do FCP,fundo,7.0,-40.7,,
137,f0093,foto,Colegas de trabalho (dela),21-45-18.jpeg,4.15,0.7,427.48,431.63,3.45,2.75,Zoom in,A  verdadeira  Claque do FCP,fundo,7.0,-40.7,,
138,f0262,foto,Colegas de trabalho (dela),IMG_2601.jpeg,3.93,0.7,430.93,434.86,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
139,f0300,foto,Colegas de trabalho (dela),WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,3.7,0.7,434.16,437.86,3.0,2.3,Zoom in,A Task Force  de Corporate,fundo,5.0,-26.0,,
140,f0301,foto,Colegas de trabalho (dela),WhatsApp Image 2025-10-10 at 14.45.56.jpeg,3.7,0.7,437.16,440.86,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
141,f0285,foto,Colegas de trabalho (dela),IMG_7886.jpeg,3.7,0.7,440.16,443.86,3.0,2.3,Nenhum,Hora de almoço,fiel,5.0,-26.0,,
142,f0094,foto,Colegas de trabalho (dela),21-45-19.jpg,3.7,0.7,443.16,446.86,3.0,2.3,Zoom in,Com a Inês,fiel,5.0,-26.0,,
143,f0167,foto,Colegas de trabalho (dela),448_ML_FestaNatal2024.jpg,3.7,0.7,446.16,449.86,3.0,2.3,Zoom in,Com a Francisca,fiel,5.0,-26.0,,
144,f0240,foto,Colegas de trabalho (dela),b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,3.7,0.7,449.16,452.86,3.0,2.3,Zoom in,,fundo,4.0,-7.5,,
145,,cartao,Tiago,,4.15,0.7,452.16,456.31,3.45,2.75,,Tiago,fiel,7.0,-40.7,,
146,,cartao,Tiago,,4.6,0.7,455.61,460.22,3.9,3.2,,"Era uma vez  um menino loiro,  de olhos azuis, que também nasceu  em 1995.",fiel,9.0,-48.8,,
147,f0103,foto,Tiago,21-46.jpg,4.15,0.7,459.52,463.67,3.45,2.75,Zoom in,Foi o  segundo filho,fundo,7.0,-40.7,,
148,f0104,foto,Tiago,21-47.jpg,4.15,0.7,462.97,467.12,3.45,2.75,Zoom in,E era amoroso,fundo,7.0,-40.7,,
149,f0105,foto,Tiago,21-48.jpg,4.15,0.7,466.42,470.57,3.45,2.75,Zoom in,"Com a mãe, o mano e as primas.",fiel,7.0,-40.7,,
150,f0153,foto,Tiago,21-49.jpg,3.7,0.7,469.87,473.57,3.0,2.3,Zoom in,E com o pai,fiel,5.0,-26.0,,
151,f0115,foto,Tiago,21-49-2.jpg,3.7,0.7,472.87,476.57,3.0,2.3,Zoom in,Com a avó Orquídia,fundo,5.0,-26.0,,
152,f0125,foto,Tiago,21-49-3.jpg,3.93,0.7,475.87,479.8,3.23,2.53,Zoom in,Primeiro aniversário.  O pai faz anos no mesmo dia.,fiel,6.0,-34.6,,
153,f0134,foto,Tiago,21-49-4.jpg,3.7,0.7,479.1,482.8,3.0,2.3,Zoom in,Segundo aniversário,fiel,5.0,-26.0,,
154,f0107,foto,Tiago,21-49-11.jpg,3.7,0.7,482.1,485.8,3.0,2.3,Zoom in,Terceiro aniversário,fiel,5.0,-26.0,,
155,f0151,foto,Tiago,21-49-6.jpg,3.7,0.7,485.1,488.8,3.0,2.3,Zoom in,Em Portugal dos Pequeninos,fiel,5.0,-26.0,,
156,f0152,foto,Tiago,21-49-8.jpg,3.7,0.7,488.1,491.8,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
157,f0106,foto,Tiago,21-49-10.jpg,3.7,0.7,491.1,494.8,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
158,f0108,foto,Tiago,21-49-12.jpg,3.7,0.7,494.1,497.8,3.0,2.3,Zoom in,Adolescência,fundo,5.0,-26.0,,
159,f0109,foto,Tiago,21-49-13 - Cópia - Cópia.JPG,3.7,0.7,497.1,500.8,3.0,2.3,Nenhum,,fiel,5.0,-26.0,,
160,f0111,foto,Tiago,21-49-15.JPG,3.7,0.7,500.1,503.8,3.0,2.3,Zoom in,Adepto  do FCP,fundo,5.0,-26.0,,
161,f0113,foto,Tiago,21-49-18.JPG,3.7,0.7,503.1,506.8,3.0,2.3,Zoom in,Apreciador  de música,fundo,5.0,-26.0,,
162,f0117,foto,Tiago,21-49-21.JPG,3.7,0.7,506.1,509.8,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
163,f0116,foto,Tiago,21-49-20.JPG,4.15,0.7,509.1,513.25,3.45,2.75,Zoom in,De café...  (No Majestic),fiel,7.0,-40.7,,
164,f0280,foto,Tiago,IMG_4601(7).jpg,3.7,0.7,512.55,516.25,3.0,2.3,Zoom in,... De cerveja,fiel,5.0,-26.0,,
165,f0112,foto,Tiago,21-49-16.JPG,4.26,0.7,515.55,519.81,3.56,2.86,Zoom in,É um rapaz ponderado e cedo  aprendeu a fazer contas à vida  (quis ser Economista)...,fundo,7.5,-43.1,,
166,f0114,foto,Tiago,21-49-19.JPG,3.93,0.7,519.11,523.04,3.23,2.53,Zoom in,Mas é  o primeiro  a alinhar  nas brincadeiras,fiel,6.0,-34.6,,
167,f0296,foto,Tiago,Porto (10).JPG,3.7,0.7,522.34,526.04,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
168,f0126,foto,Tiago,21-49-30.JPG,3.93,0.7,525.34,529.27,3.23,2.53,Zoom in,Explicando  que o 1.º rei  de Portugal  não era  Afonso...,fundo,6.0,-34.6,,
169,f0127,foto,Tiago,21-49-31.JPG,0.56,0.0,529.27,529.83,0.56,0.56,Nenhum,Vendo o mundo de pernas p'ró ar,rajada,6.0,-90.6,,
170,f0128,foto,Tiago,21-49-32.JPG,0.56,0.0,529.83,530.39,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
