ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
34,f0175,foto,"demo v3, o flash-forward",7.jpg,4.0,0.7,194.56,198.56,3.3,2.6,Zoom in,Muito irrequieta...,fundo,,,,,,
35,f0186,foto,"demo v3, o flash-forward",8.jpg,4.0,0.7,197.86,201.86,3.3,2.6,Zoom in,"Era endiabrada, mas também encantadora.",fundo,,,,,,
36,f0450,foto,"demo v3, o flash-forward",Clara x3 (37).jpg,4.0,0.7,201.16,205.16,3.3,2.6,Zoom in,,fundo,,,,,,
37,f0452,foto,"demo v3, o flash-forward",Digitalizar0008.jpg,4.0,0.7,204.46,208.46,3.3,2.6,Zoom in,,fundo,,,,,,
38,f0033,foto,"demo v3, o flash-forward",11.jpg,4.0,0.7,207.76,211.76,3.3,2.6,Zoom in,Com a mãe,fundo,,,,,,
39,f0013,foto,"demo v3, o flash-forward",10-1 (2).jpg,4.0,0.7,211.06,215.06,3.3,2.6,Zoom in,Com o pai. Era pequenina e já lhe dava ouras...,fundo,,,,,,
40,f0016,foto,"demo v3, o flash-forward",10-4.jpg,4.0,0.7,214.36,218.36,3.3,2.6,Zoom in,,fundo,,,,,,
41,f0003,foto,"demo v3, o flash-forward",10-3.jpg,4.0,0.7,217.66,221.66,3.3,2.6,Zoom in,,fundo,,,,,,
42,f0024,foto,"demo v3, o flash-forward",11-14.jpg,4.0,0.7,220.96,224.96,3.3,2.6,Zoom in,Com o mano e a mãe,fundo,,,,,,
43,f0025,foto,"demo v3, o flash-forward",11-15.jpg,4.0,0.7,224.26,228.26,3.3,2.6,Zoom in,,fundo,,,,,,
44,f0028,foto,"demo v3, o flash-forward",11-5.jpg,4.0,0.7,227.56,231.56,3.3,2.6,Zoom in,,fundo,,,,,,
45,f0030,foto,"demo v3, o flash-forward",11-7.jpg,4.0,0.7,230.86,234.86,3.3,2.6,Zoom in,,fundo,,,,,,
46,f0031,foto,"demo v3, o flash-forward",11-8.jpg,4.0,0.7,234.16,238.16,3.3,2.6,Zoom in,,fundo,,,,,,
47,f0029,foto,"demo v3, o flash-forward",11-6.jpg,4.0,0.7,237.46,241.46,3.3,2.6,Zoom in,,fundo,,,,,,
48,,cartao,"demo v3, o flash-forward",,3.6,0.7,240.76,244.36,2.9,2.2,Zoom in,Como cresceram,fiel,,,,,,
49,,cartao,"demo v3, o flash-forward",,3.6,0.7,243.66,247.26,2.9,2.2,Zoom in,Clara,fiel,,,,,,
50,f0039,foto,"demo v3, o flash-forward",19-1.JPG,4.0,0.7,246.56,250.56,3.3,2.6,Zoom in,,fundo,,,,,,
51,f0046,foto,"demo v3, o flash-forward",20.JPG,4.0,0.7,249.86,253.86,3.3,2.6,Zoom in,Cena de filme à Marilyn Monroe,fundo,,,,,,
52,f0004,foto,"demo v3, o flash-forward",10-5.JPG,4.0,0.7,253.16,257.16,3.3,2.6,Zoom in,,fundo,,,,,,
53,f0021,foto,"demo v3, o flash-forward",11-10.JPG,4.0,0.7,256.46,260.46,3.3,2.6,Zoom in,,fundo,,,,,,
54,f0027,foto,"demo v3, o flash-forward",11-4.JPG,4.0,0.7,259.76,263.76,3.3,2.6,Zoom in,,fundo,,,,,,
55,f0023,foto,"demo v3, o flash-forward",11-13.jpg,4.0,0.7,263.06,267.06,3.3,2.6,Zoom in,"- Clara, gostas dessa canção do Ed Sheeran? 
- Gosto! 
- Então não a estragues...",fundo,,,,,,
56,f0032,foto,"demo v3, o flash-forward",11-9.jpg,4.0,0.7,266.36,270.36,3.3,2.6,Zoom in,,fundo,,,,,,
57,f0318,foto,"demo v3, o flash-forward",Clara_bebe_cerveja.jpg,4.0,0.7,269.66,273.66,3.3,2.6,Zoom in,,fundo,,,,,,
58,f0434,foto,"demo v3, o flash-forward",20220815_125148.jpg,4.0,0.7,272.96,276.96,3.3,2.6,Zoom in,,fundo,,,,,,
59,f0218,foto,"demo v3, o flash-forward",9-16.JPG,4.0,0.7,276.26,280.26,3.3,2.6,Zoom in,Eterna fã do Harry Potter (Local de filmagens em Londres)...,fundo,,,,,,
60,f0599,foto,"demo v3, o flash-forward",IMG_4492.JPG,4.0,0.7,279.56,283.56,3.3,2.6,Zoom in,,fundo,,,,,,
61,f0319,foto,"demo v3, o flash-forward",IMG-20220807-WA0105.jpg,4.0,0.7,282.86,286.86,3.3,2.6,Zoom in,,fundo,,,,,,
